http://www.aibl.fr/membres/academiciens-depuis-1663/;;;;;;;;;;
;;;;;;;;;;
"de 1663 à 1701 : une seule catégorie, celle de membre (M) ;";;;;;;;;;;
"de 1701 à 1793 : ont été retenues les catégories de membres honoraire (H), pensionnaire (P) et d’associé libre (AL) ; les deux premières correspondent à celles des membres actuels, la dernière à celle des associés étrangers ;";;;;;;;;;;
"de 1795 à 1816 : les différentes catégories de membres ont été fondues ensemble (M) ; s’y ajoutent des associés étrangers (AE) ;";;;;;;;;;;
"de 1816 à 1999 : trois catégories de membres : membre ordinaire (O), membre libre (L) et associé étranger (AE) ;";;;;;;;;;;
depuis 1999 : une seule catégorie, celle de membre (M), à laquelle s’adjoignent des associés étrangers (AE).;;;;;;;;;;
;;;;;;;;;;
FullName;VIAF Number;Pseudonym (dit);;;;;;;;
 BOYANCÉ, Pierre, Alexandre ;;;1900;O;1959;1976;;;;
 BOYER, Jean-François ;;;1675;H;1741;1755;;;;
 BOWERSOCK, Glen, Warren ;;;1936;Associés étrangers;1996;;;;;
 BOZE, Claude GROS de ;;;1680;Pensionnaire;1706;1753;;;;
 BRÉAL, Michel, Jules, Alfred ;;;1832;O;1875;1915;;;;
 BRÉHIER, Louis, René ;;;1868;L;1935;1951;;;;
 BRÉQUIGNY, Louis-Georges OUDARD-FEUDRIX de ;;;1716;Pensionnaire;1778;1795;;;;
 BRETEUIL, Louis-Auguste LE TONNELIER, baron de ;;;1733;H;1784;1807;;;;
 BREUIL, l’abbé Henri, Édouard, Prosper ;;;1877;O;1938;1961;;;;
 BRIAL, dom Michel-Jean-Joseph ;;;1743;M;1804;1828;;;;
 BROSSES, Charles de ;;;1709;Associés libres;1750;1777;;;;
 BRÜHL, Carlrichard, Ernst, Theodor ;;;1925;Associés étrangers;1990;1997;;;;
 BRUNEL, Clovis, Félix ;;;1884;O;1937;1971;;;;
 BRUNET de PRESLES, Charles-Marie-Wladimir ;;;1809;O;1852;1875;;;;
 BRUNOT, Ferdinand, Eugène, Jean-Baptiste ;;;1860;O;1925;1938;;;;
 BRUTAILS, Élie, Jean, Auguste ;;;1859;L;1919;1926;;;;
 BUGGE, Elseus, Sophus ;;;1833;Associés étrangers;1902;1907;;;;
 BUR, Michel, Émile, Joseph ;;;1933;M;2005;;;;;
 BURETTE, Pierre-Jean ;;;1665;Pensionnaire;1715;1747;;;;
 BURNOUF, Eugène ;;;1801;O;1832;1852;;;;
 BURNOUF, Jean-Louis ;;;1775;O;1836;1844 ;;;;
 CAGNAT, René, Louis, Victor ;;;1852;O;1895;1937;;;;
 CAHEN, Claude ;;;1909;O;1973;1991;;;;
 CAILLAT, Colette ;;;1921;O;1987;2007;;;;
 CALLU, Jean-Pierre ;;;1929;O;1995;;;;;
 CALMETTE, Joseph, Louis, Antoine ;;;1873;L;1934;1952;;;;
 CAMUS, Armand-Gaston ;;;1740;M;1795;1804;;;;
 CAPPERONIER, Jean ;;;1717;P;1770;1775;;;;
 CAPPONI, Grégoire-Alexandre, marquis de ;;;s.;d.;H;1729;1746;;;
 CAQUOT, André, Marcel ;;;1923;O;1977;2004;;;;
 CARCOPINO, Jérôme, Ernest, Joseph ;;;1881;O;1930;1970;;;;
 CASSAGNES, l’abbé Jacques ;;;1636;M;1663;1679;;;;
 CAUMARTIN, Mgr Jean-François-Paul LE FÈVRE de ;;;1668;H;1701;1733;;;;
 CAUSSIN, Jean-Jacques-Antoine ;;;1759;M;1809;1835;;;;
 CAUSSIN de PERCEVAL, Amand-Pierre ;;;1795;O;1849;1871;;;;
 CAYLUS, Anne-Claude-Philippe de TUBIERES de GRIMOARD de PESTEL de LÉVIS, comte de ;;;1692;H;1742;1765;;;;
 CERULLI, Enrico ;;;1898;AE;1969;1988;;;;
 CHABANON, Michel-Paul-Gui de ;;;1730;P;1779;1792;;;;
 CHABOT, l’abbé Jean-Baptiste ;;;1860;O;1917;1948;;;;
 CHADWICK, John ;;;1920;AE;1985;1997;;;;
 CHAIZE, François d’AIX de la ;;;1624;H;1701;1709;;;;
 CHAMOUX, François, Jean-Jacques, Étienne, Alphonse ;;;1915;O;1981;2007;;;;
 CHAMPAGNE, Jean-François ;;;1751;M;1797;1813;;;;
 CHAMPOLLION, Jean-François ;;;1790;O;1830;1832;;;;
 CHANTRAINE, Pierre, Louis ;;;1899;O;1953;1974;;;;
 CHAPELAIN, Jean ;;;1595;M;1663;1674;;;;
 CHAPELLE, Henri de BESSÉ, sieur de la ;;;s.;d.;M;1683;1694;;;
 CHAPOT, Marc, Joseph, Victor ;;;1873;L;1954;1954;;;;
 CHARBONNEAUX, Jean, Marie, Augustin ;;;1895;O;1962;1969;;;;
 CHARPENTIER, François ;;;1620;M;1663;1702;;;;
 CHASTEL, André, Adrien ;;;1912;O;1975;1990;;;;
 CHATELAIN, Émile, Louis, Marie ;;;1851;O;1903;1933;;;;
 CHAVANNES, Emmanuel, Édouard ;;;1865;O;1903;1918;;;;
 CHERRIER, Claude-Joseph de ;;;1785;L;1854;1872;;;;
 CHESTERFIELD, Philippe Dormer Stanhope, comte de ;;;1694;AL;1755;1773;;;;
 CHEVALIER, le chanoine Cyr, Ulysse, Joseph ;;;1841;L;1912;1923;;;;
 CHÉZY, Antoine-Léonard de ;;;1773;O;1816;1832;;;;
 CHOISEUL-DAILLECOURT, André-Urbain-Maxime, comte de ;;;1782;O;1817;1854;;;;
 CHOISEUL-GOUFFIER, Gabriel-Florent-Auguste,;;;1752;M;1803;1817;;;;
 CIANTAR, Jean-Antoine, comte de ;;;1696;H;1745;1778;;;;
 CLAVIER, Étienne ;;;1762;M;1809;1817;;;;
 CLERMONT-GANNEAU, Charles, Simon ;;;1846;O;1889;1923;;;;
 COBET, Charles-Gabriel ;;;1813;AE;1876;1889;;;;
 COCHIN, Henry, Denys, Benoît, Marie ;;;1854;L;1926;1926;;;;
 COEDÈS, George ;;;1886;L;1958;1969;;;;
 COISLIN, Henri-Charles, duc de ;;;1664;H;1726;1732;;;;
 COLEBROOKE, Henry-Thomas ;;;1765;AE;1831;1837;;;;
 COLLART, Paul, Vital, Ferdinand ;;;1878;O;1942;1946;;;;
 COLLIGNON, Léon, Maxime ;;;1849;O;1894;1917;;;;
 COMPARETTI, Domenico, Pietro, Antonio ;;;1835;AE;1896;1927;;;;
 CONSTABLE, Giles ;;;1929;AE;1994;;;;;
 CONTAMINE, Philippe ;;;1932;O;1990;;;;;
 CONTINI, Gianfranco ;;;1912;AE;1980;1990;;;;
 COORNAERT, Léon, Joseph, Émile ;;;1886;O;1958;1980;;;;
 CORDIER, Henri ;;;1849;L;1908;1925;;;;
 COURCELLE, Pierre, Paul, Marie, Georges ;;;1912;O;1965;1980;;;;
 COUSINERY, Esprit-Marie ;;;1747;L;1830;1833;;;;
 COUTURE, l’abbé Jean-Baptiste ;;;1651;P;1705;1728;;;;
 COVILLE, Alfred, Alexandre ;;;1860;O;1928;1942;;;;
 CRACCO-RUGGINI, Lellia ;;;1931;AE;2010;;;;;
 CRÉPIN, André ;;;1928;M;2002;;;;;
 CREUZER, Georg-Friedrich ;;;1771;AE;1825;1858;;;;
 CROISET, Alfred, Marie, Joseph ;;;1845;O;1886;1923;;;;
 CROISET, Maurice, Antoine, Marie, Joseph ;;;1846;O;1903;1935;;;;
 CUMONT, Franz, Valérie, Marie ;;;1868;AE;1913;1947;;;;
 CUPER, Gisbert ;;;1644;H;1715;1716;;;;
 CUQ, Édouard, Ulysse, François, Léonce ;;;1850;O;1911;1934;;;;
