;http://www.asmp.fr/presentation/academiciens.htm;;;;;;;;;;;;;;;;;
;Full Name;VIAF;VIAF URL;URL www.asmp.fr;Birth Year;Death Year;Also Known As;Start Day;End Date;Seat;Section;Section Number;WikiName;Wiki URL;;;;
Baron Jean-Jacques BAUDE;Baude, Jean-Jacques;45833974;http://viaf.org/viaf/45833974;;1792;1862;Baron;1856;1862;4;Membres libres;VI;;;;;;
Horace SAY;Say, Horace Émile;9913739;http://viaf.org/viaf/9913739;;1794;1860;;1857;1860;6;Membres libres;VI;;;;;;
Charles-Auguste PELLAT;Pellat, Charles Auguste;9837013;http://viaf.org/viaf/9837013;;1793;1871;;1858;1871;1;Membres libres;VI;;;;;;
JULIEN-LAFFERRIÈRE;Julien-Lafferrie_re, Xavier;146832078;http://viaf.org/viaf/146832078;;;;;1859;;2;Législation, droit public et jurisprudence;II;;;;;;
Claude DELANGLE;Delangle, Claude-Alphonse;63565325;http://viaf.org/viaf/63565325;;1797;1869;;1859;1869;3;Législation, droit public et jurisprudence;II;;;;;;
Comte Napoléon DARU;Daru, Napole_on;68918917;http://viaf.org/viaf/68918917;;1807;1890;Comte;1860;1890;4;Membres libres;VI;;;;;;
Auguste-Charles RENOUARD;;;;;;;;1861;;2;Législation, droit public et jurisprudence;II;;;;;;
Édouard DROUIN de LHUYS;Drouyn de Lhuys, Edouard;17525718;http://viaf.org/viaf/17525718;;1805;1881;;1861;1881;6;Membres libres;VI;;;;;;
Émile SAISSET;Saisset, Émile;19758303;http://viaf.org/viaf/19758303;;1814;1863;;1863;1863;1;Philosophie;I;;;;;;
Charles LEVÊQUE;Lévêque, Charles;51731746;http://viaf.org/viaf/51731746;;1818;1900;;1865;1900;1;Philosophie;I;;;;;;
Paul JANET;Janet, Paul;7404012; http://viaf.org/viaf/7404012;;1823;1899;;1866;1899;7;Philosophie;I;;;;;;
Victor, duc de BROGLIE;Broglie, Victor de;100176986;http://viaf.org/viaf/100176986;;1785;1870;;1866;1870;8;Philosophie;I;;;;;;
