Last Name, First Name;Last Name;First Name;Wikipedia Name;Birth Dates;Death Dates;Website;Website;VIAF ID;Membership (s);Membership (s) (cont.);Membership (s) (cont.);Membership (s) (cont.)
Gottfried,  Georg;Gottfried; Georg; Georg Gottfried;1648;1725;http://viaf.org/viaf/242379561;http://viaf.org/viaf/;242379561;AM 14.01.1709 ;;;
Henfling,  Konrad;Henfling; Konrad; Konrad Henfling;1648;1716;http://viaf.org/viaf/45094232;http://viaf.org/viaf/;45094232;AM 03.18.1711 ;;;
Des Vignoles, Alphonse;Des Vignoles;Alphonse;Alphonse Des Vignoles;1649;1744;http://viaf.org/viaf/69707326;http://viaf.org/viaf/;69707326;AM 03.11.1701 ;OM 23.01.1744 ;;
Grab rim,  Joachim Christoph Nicolai of;Grab rim; Joachim Christoph Nicolai of; Joachim Christoph Nicolai of Grab rim;1649;1715;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;AM 01.04.1701 ;;;
Seidel,  Andreas Erasmus of;Seidel; Andreas Erasmus of; Andreas Erasmus of Seidel;1650;1707;http://viaf.org/viaf/35523287;http://viaf.org/viaf/;35523287;OM 11.03.1701 ;;;
Thormann,  Michael Friedrich;Thormann; Michael Friedrich; Michael Friedrich Thormann;1650;1711;http://viaf.org/viaf/5873763;http://viaf.org/viaf/;5873763;OM 11.03.1701 ;;;
Chodowiecki,  Johann Serenius;Chodowiecki; Johann Serenius; Johann Serenius Chodowiecki;1650;1726;http://viaf.org/viaf/65229914;http://viaf.org/viaf/;65229914;AM 11.07.1701 ;;;
Fardella,  Michel Angelo;Fardella; Michel Angelo; Michel Angelo Fardella;1650;1718;http://viaf.org/viaf/71418257;http://viaf.org/viaf/;71418257;AM 09.26.1707 ;;;
Woolhouse,  John Thomas;Woolhouse; John Thomas; John Thomas Woolhouse;1650;1734;http://viaf.org/viaf/4807768;http://viaf.org/viaf/;4807768;AM 1723 ;;;
Wurzelbau,  Johann Philipp von;Wurzelbau; Johann Philipp von; Johann Philipp von Wurzelbau;1651;1725;http://viaf.org/viaf/30465849;http://viaf.org/viaf/;30465849;AM 12.06.1706 ;;;
Wölffer,  Johann;Wölffer; Johann; Johann Wölffer;1651;1724;http://viaf.org/viaf/13084690;http://viaf.org/viaf/;13084690;AM 12.04.1715 ;;;
Limprecht,  Johann Adam;Limprecht; Johann Adam; Johann Adam Limprecht;1651;1735;http://viaf.org/viaf/32878848;http://viaf.org/viaf/;32878848;OM 10.06.1719 ;;;
Schmid,  Johann Andreas;Schmid; Johann Andreas; Johann Andreas Schmid;1652;1726;http://viaf.org/viaf/89684396;http://viaf.org/viaf/;89684396;AM 03.11.1701 ;;;
Albinus,  Bernhard;Albinus; Bernhard; Bernhard Albinus;1653;1721;http://viaf.org/viaf/74662255;http://viaf.org/viaf/;74662255;AM 03.11.1701 ;;;
Beger,  Lorenz;Beger; Lorenz; Lorenz Beger;1653;1705;http://viaf.org/viaf/56907766;http://viaf.org/viaf/;56907766;OM 11.03.1701 ;;;
Basnage,  Jacques;Basnage; Jacques; Jacques Basnage;1653;1723;http://viaf.org/viaf/56765783;http://viaf.org/viaf/;56765783;AM 08.01.1711 ;;;
Jablonski,  Johann Theodor;Jablonski; Johann Theodor; Johann Theodor Jablonski;1654;1731;http://viaf.org/viaf/10679478;http://viaf.org/viaf/;10679478;OM 06.10.1700 ;;;
Better,  John of;Better; John of; John of Better;1654;1729;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;OM 11.03.1701 ;;;
Naudé,  Philippe;Naudé; Philippe; Philippe Naudé;1654;1729;http://viaf.org/viaf/41829372;http://viaf.org/viaf/;41829372;OM 11.03.1701 ;;;
Acoluth,  Andreas;Acoluth; Andreas; Andreas Acoluth;1654;1704;http://viaf.org/viaf/22882201;http://viaf.org/viaf/;22882201;AM 11.07.1701 ;;;
Bernoulli,  Jakob;Bernoulli; Jakob; Jakob Bernoulli;1654;1705;http://viaf.org/viaf/14793931;http://viaf.org/viaf/;14793931;AM 01.19.1702 ;;;
Varignon,  Pierre;Varignon; Pierre; Pierre Varignon;1654;1722;http://viaf.org/viaf/19709327;http://viaf.org/viaf/;19709327;AM 04.05.1711 ;;;
Grunberg,  Martin;Grunberg; Martin; Martin Grunberg;1655;1706;http://viaf.org/viaf/5831403;http://viaf.org/viaf/;5831403;OM 11.03.1701 ;;;
Walther,  Christian;Walther; Christian; Christian Walther;1655;1717;http://viaf.org/viaf/20622086;http://viaf.org/viaf/;20622086;AM 08.07.1701 ;;;
Guilielmini,  Domenico;Guilielmini; Domenico; Domenico Guilielmini;1655;1710;http://viaf.org/viaf/50006688;http://viaf.org/viaf/;50006688;AM 09.26.1707 ;;;
Pictet,  Bénédict;Pictet; Bénédict; Bénédict Pictet;1655;1724;http://viaf.org/viaf/79089525;http://viaf.org/viaf/;79089525;AM 02.07.1714 ;;;
Hartsoecker,  Nicholas;Hartsoecker; Nicholas; Nicholas Hartsoecker;1656;1725;http://viaf.org/viaf/71525600;http://viaf.org/viaf/;71525600;AM 09.07.1703 ;;;
Basnage de beauval,  Henri;Basnage de beauval; Henri; Henri Basnage de beauval;1656;1710;http://viaf.org/viaf/52523340;http://viaf.org/viaf/;52523340;AM 05.04.1707 ;;;
Marperger,  Paul Jacob;Marperger; Paul Jacob; Paul Jacob Marperger;1656;1730;http://viaf.org/viaf/66501466;http://viaf.org/viaf/;66501466;OM 26.03.1708 ;;;
Achenbach,  Karl Konrad;Achenbach; Karl Konrad; Karl Konrad Achenbach;1656;1720;http://viaf.org/viaf/132120069;http://viaf.org/viaf/;132120069;OM 27.10.1710 ;;;
Sterky,  Jeremiah;Sterky; Jeremiah; Jeremiah Sterky;1656;1718;http://viaf.org/viaf/153211803;http://viaf.org/viaf/;153211803;OM 27.10.1710 ;;;
Teuber,  Gottfried;Teuber; Gottfried; Gottfried Teuber;1656;1731;http://viaf.org/viaf/103887600;http://viaf.org/viaf/;103887600;AM 30.11.1712 ;;;
Oelven,  Christian Heinrich;Oelven; Christian Heinrich; Christian Heinrich Oelven;1657;1720;http://viaf.org/viaf/103837083;http://viaf.org/viaf/;103837083;OM 12.10.1701 ;;;
Valentini,  Michael Bernhard;Valentini; Michael Bernhard; Michael Bernhard Valentini;1657;1729;http://viaf.org/viaf/175833;http://viaf.org/viaf/;175833;AM 10.04.1704 ;;;
Werenfels,  Samuel;Werenfels; Samuel; Samuel Werenfels;1657;1740;http://viaf.org/viaf/56591038;http://viaf.org/viaf/;56591038;AM 04.11.1709 ;;;
Faber,  Samuel;Faber; Samuel; Samuel Faber;1657;1716;http://viaf.org/viaf/51726164;http://viaf.org/viaf/;51726164;AM 10.03.1715 ;;;
Fontenelle,  Bernard le Bouyer de;Fontenelle; Bernard le Bouyer de; Bernard le Bouyer de Fontenelle;1657;1757;http://viaf.org/viaf/99744686;http://viaf.org/viaf/;99744686;AM 04.12.1749 ;;;
Witte,  Johann Erdmann;Witte; Johann Erdmann; Johann Erdmann Witte;1658;1724;http://viaf.org/viaf/54581596;http://viaf.org/viaf/;54581596;AM 03.11.1701 ;;;
Sturm,  Johann Friedrich;Sturm; Johann Friedrich; Johann Friedrich Sturm;1658;1702;http://viaf.org/viaf/72468920;http://viaf.org/viaf/;72468920;OM 11.03.1701 ;;;
Zwinger,  Theodor;Zwinger; Theodor; Theodor Zwinger;1658;1724;http://viaf.org/viaf/32792685;http://viaf.org/viaf/;32792685;AM 04.12.1706 ;;;
Le Duchat,  Jacques;Le Duchat; Jacques; Jacques Le Duchat;1658;1735;http://viaf.org/viaf/7562497;http://viaf.org/viaf/;7562497;OM 02.01.1715 ;;;
Ancillon,  Karl;Ancillon; Karl; Karl Ancillon;1659;1715;http://viaf.org/viaf/9954127;http://viaf.org/viaf/;9954127;OM 09.05.1707 ;;;
Jablonski,  Daniel Ernst;Jablonski; Daniel Ernst; Daniel Ernst Jablonski;1660;1741;http://viaf.org/viaf/69661324;http://viaf.org/viaf/;69661324;OM 06.12.1700 ;;;
Blasing,  David;Blasing; David; David Blasing;1660;1719;http://viaf.org/viaf/74745272;http://viaf.org/viaf/;74745272;AM 03.11.1701 ;;;
Schluter,  Andreas;Schluter; Andreas; Andreas Schluter;1660;1714;http://viaf.org/viaf/77108640;http://viaf.org/viaf/;77108640;OM 11.03.1701 ;;;
Hoffmann,  Friedrich;Hoffmann; Friedrich; Friedrich Hoffmann;1660;1742;http://viaf.org/viaf/44383224;http://viaf.org/viaf/;44383224;AM 01.04.1701 ;;;
Behrens,  Konrad Barthold;Behrens; Konrad Barthold; Konrad Barthold Behrens;1660;1736;http://viaf.org/viaf/37658637;http://viaf.org/viaf/;37658637;AM 06.12.1708 ;;;
Sloane,  Hans;Sloane; Hans; Hans Sloane;1660;1753;http://viaf.org/viaf/77959;http://viaf.org/viaf/;77959;AM 30.11.1712  to 01.11.1752 ;;;
Chuno,  Johann Jakob;Chuno; Johann Jakob; Johann Jakob Chuno;1661;1715;http://viaf.org/viaf/77168822;http://viaf.org/viaf/;77168822;OM 06.12.1700 ;;;
La Croze,  Mathurin de Veyssiére;La Croze; Mathurin de Veyssiére; Mathurin de Veyssiére La Croze;1661;1739;http://viaf.org/viaf/95298985;http://viaf.org/viaf/;95298985;OM 11.03.1701 ;;;
Lichtscheid,  Ferdinand Helfreich;Lichtscheid; Ferdinand Helfreich; Ferdinand Helfreich Lichtscheid;1661;1707;http://viaf.org/viaf/18083872;http://viaf.org/viaf/;18083872;OM 12.10.1701 ;;;
Zumbach van Koesfeldt, Lotharius;Zumbach van Koesfeldt;Lotharius;Lotharius Zumbach van Koesfeldt;1661;1727;http://viaf.org/viaf/32763092;http://viaf.org/viaf/;32763092;AM 12.09.1714 ;;;
Lenfant,  Jacques;Lenfant; Jacques; Jacques Lenfant;1661;1728;http://viaf.org/viaf/39395615;http://viaf.org/viaf/;39395615;OM 24.02.1724 ;;;
Goldschmidt,  Peter;Goldschmidt; Peter; Peter Goldschmidt;1662;1713;http://viaf.org/viaf/51622013;http://viaf.org/viaf/;51622013;AM 03.01.1712 ;;;
Bentley,  Richard;Bentley; Richard; Richard Bentley;1662;1742;http://viaf.org/viaf/27862472;http://viaf.org/viaf/;27862472;AM 29.03.1713 ;;;
Francke,  August Hermann;Francke; August Hermann; August Hermann Francke;1663;1727;http://viaf.org/viaf/66477244;http://viaf.org/viaf/;66477244;AM 12.10.1701 ;;;
Beer,  Johann Heinrich;Beer; Johann Heinrich; Johann Heinrich Beer;1663;1717;http://viaf.org/viaf/66477244;http://viaf.org/viaf/;66477244;OM 12.10.1701 ;;;
Plotho,  Otto Ludwig Edler von;Plotho; Otto Ludwig Edler von; Otto Ludwig Edler von Plotho;1663;1731;http://viaf.org/viaf/40125112;http://viaf.org/viaf/;40125112;AM 01.12.1701 ;;;
Ihring, Henry (Heinrich) Nicholas;Ihring;Henry (Heinrich) Nicholas;Henry (Heinrich) Nicholas Ihring;1663;1718;http://viaf.org/viaf/233959819;http://viaf.org/viaf/;233959819;AM 04.02.1703 ;;;
Sachsen-Anhalt, Heinrich-Böll-Stiftung;Sachsen-Anhalt;Heinrich-Böll-Stiftung;Heinrich-Böll-Stiftung Sachsen-Anhalt;1663;1737;http://viaf.org/viaf/144634901;http://viaf.org/viaf/;144634901;AM 1714 ;;;
Homann,  Johann Baptist;Homann; Johann Baptist; Johann Baptist Homann;1663;1724;http://viaf.org/viaf/47031432;http://viaf.org/viaf/;47031432;AM 12.04.1715 ;;;
Lehmann, Peter Ambrosius;Lehmann;Peter Ambrosius;Peter Ambrosius Lehmann;1663;1729;http://viaf.org/viaf/69717493;http://viaf.org/viaf/;69717493;AM 06.19.1726 ;;;
Cramer,  Johann Friedrich;Cramer; Johann Friedrich; Johann Friedrich Cramer;1664;1715;http://viaf.org/viaf/10277780;http://viaf.org/viaf/;10277780;AM 03.11.1701 ;;;
Eckhardt,  Johann Georg von;Eckhardt; Johann Georg von; Johann Georg von Eckhardt;1664;1730;http://viaf.org/viaf/74652882;http://viaf.org/viaf/;74652882;AM 03.18.1711 ;;;
Groﬂer,  Samuel;Groﬂer; Samuel; Samuel Groﬂer;1664;1736;http://viaf.org/viaf/69270794;http://viaf.org/viaf/;69270794;AM 06.30.1712 ;;;
Jagwitz,  Friedrich;Jagwitz; Friedrich; Friedrich Jagwitz;1665;1727;http://viaf.org/viaf/59461789;http://viaf.org/viaf/;59461789;OM 11.03.1701 ;;;
Neukirch,  Benjamin;Neukirch; Benjamin; Benjamin Neukirch;1665;1729;http://viaf.org/viaf/7416376;http://viaf.org/viaf/;7416376;AM 11.07.1701  to 02.05.1711 ;OM 05.02.1711 ;;
d'Angicourt,  Pierre;d'Angicourt; Pierre; Pierre d'Angicourt;1665;1727;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;OM 01.12.1701 ;;;
Neukirch,  Benjamin;Neukirch; Benjamin; Benjamin Neukirch;1665;1729;http://viaf.org/viaf/7416376;http://viaf.org/viaf/;7416376;AM 11.07.1701  to 02.05.1711 ;OM 05.02.1711 ;;
Wockenius,  Franz;Wockenius; Franz; Franz Wockenius;1665;1734;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;AM 10.03.1726 ;;;
Mel,  Konrad;Mel; Konrad; Konrad Mel;1666;1733;http://viaf.org/viaf/5359445;http://viaf.org/viaf/;5359445;AM 20.01.1701 ;;;
Fresh,  Johann Leonhard;Fresh; Johann Leonhard; Johann Leonhard Fresh;1666;1743;http://viaf.org/viaf/27400474;http://viaf.org/viaf/;27400474;OM 06.12.1706 ;;;
Helwig,  Georg Andreas;Helwig; Georg Andreas; Georg Andreas Helwig;1666;1748;http://viaf.org/viaf/33109279;http://viaf.org/viaf/;33109279;AM 31.08.1709 ;;;
Huyssen,  Baron Heinrich von;Huyssen; Baron Heinrich von; Baron Heinrich von Huyssen;1666;1739;http://viaf.org/viaf/14806817;http://viaf.org/viaf/;14806817;AM 04.28.1710 ;;;
Chamberlayne,  John;Chamberlayne; John; John Chamberlayne;1666;1723;http://viaf.org/viaf/59432695;http://viaf.org/viaf/;59432695;AM 03.02.1712 ;;;
Pape,  Peter Sigismund;Pape; Peter Sigismund; Peter Sigismund Pape;1666;1733;http://viaf.org/viaf/273316187;http://viaf.org/viaf/;273316187;OM 11.07.1714 ;;;
Busse,  August Friedrich;Busse; August Friedrich; August Friedrich Busse;1666;1727;http://viaf.org/viaf/72331277;http://viaf.org/viaf/;72331277;AM 12.04.1715 ;;;
Bernoulli,  Johann;Bernoulli; Johann; Johann Bernoulli;1667;1748;http://viaf.org/viaf/51754496;http://viaf.org/viaf/;51754496;AM 03.11.1701 ;;;
Buddeus,  Johann Franz;Buddeus; Johann Franz; Johann Franz Buddeus;1667;1729;http://viaf.org/viaf/59320270;http://viaf.org/viaf/;59320270;AM 01.12.1701 ;;;
Schlegel,  Christian August;Schlegel; Christian August; Christian August Schlegel;1667;1722;http://viaf.org/viaf/169000953;http://viaf.org/viaf/;169000953;AM 30.11.1712 ;;;
Horch,  Christoph;Horch; Christoph; Christoph Horch;1667;1754;http://viaf.org/viaf/47528056;http://viaf.org/viaf/;47528056;OM 10.06.1719 ;;;
Moivre,  Abraham de;Moivre; Abraham de; Abraham de Moivre;1667;1754;http://viaf.org/viaf/71525671;http://viaf.org/viaf/;71525671;AM 08.23.1735 ;;;
Starcke,  Sebastian Gottfried;Starcke; Sebastian Gottfried; Sebastian Gottfried Starcke;1668;1710;http://viaf.org/viaf/15205121;http://viaf.org/viaf/;15205121;OM 11.03.1701 ;;;
Kliem,  Johann Christoph;Kliem; Johann Christoph; Johann Christoph Kliem;1668;1730;http://viaf.org/viaf/5805471;http://viaf.org/viaf/;5805471;AM 12.10.1701 ;;;
Gottsched,  Johann;Gottsched; Johann; Johann Gottsched;1668;1704;http://viaf.org/viaf/55007469;http://viaf.org/viaf/;55007469;AM 11.07.1701 ;;;
Olearius,  Johann Christoph;Olearius; Johann Christoph; Johann Christoph Olearius;1668;1747;http://viaf.org/viaf/59440000;http://viaf.org/viaf/;59440000;AM 01.12.1701  to 02.07.1714 ;AM 07.02.1714 ;;
Schaper,  Johann Ernst;Schaper; Johann Ernst; Johann Ernst Schaper;1668;1721;http://viaf.org/viaf/8268545;http://viaf.org/viaf/;8268545;AM 01.12.1701 ;;;
Leuckfeld,  Johann Georg;Leuckfeld; Johann Georg; Johann Georg Leuckfeld;1668;1726;http://viaf.org/viaf/54359731;http://viaf.org/viaf/;54359731;AM 03.02.1712 ;;;
Olearius,  Johann Christoph;Olearius; Johann Christoph; Johann Christoph Olearius;1668;1747;http://viaf.org/viaf/59440000;http://viaf.org/viaf/;59440000;AM 01.12.1701  to 02.07.1714 ;AM 07.02.1714 ;;
Seidel, Christoph Matthaeus;Seidel;Christoph Matthaeus;Christoph Matthaeus Seidel;1668;1723;http://viaf.org/viaf/37750853;http://viaf.org/viaf/;37750853;OM 03.07.1720 ;;;
Ludewig, Johann Peter von;Ludewig;Johann Peter von;Johann Peter von Ludewig;1668;1743;http://viaf.org/viaf/42650348;http://viaf.org/viaf/;42650348;AM 04.12.1731 ;;;
Hoffmann,  Johann Heinrich;Hoffmann; Johann Heinrich; Johann Heinrich Hoffmann;1669;1716;http://viaf.org/viaf/10745265;http://viaf.org/viaf/;10745265;OM 18.02.1701 ;;;
Eosander,  Johann Friedrich Nilsson;Eosander; Johann Friedrich Nilsson; Johann Friedrich Nilsson Eosander;1669;1728;http://viaf.org/viaf/95786687;http://viaf.org/viaf/;95786687;OM 11.03.1701 ;;;
Sturm,  Christoph Leonhard;Sturm; Christoph Leonhard; Christoph Leonhard Sturm;1669;1719;http://viaf.org/viaf/22917355;http://viaf.org/viaf/;22917355;AM 07.21.1702 ;;;
Schluter,  Johann Heinrich;Schluter; Johann Heinrich; Johann Heinrich Schluter;1669;1731;http://viaf.org/viaf/72253574;http://viaf.org/viaf/;72253574;OM 27.10.1710 ;;;
Volckmann,  Paul;Volckmann; Paul; Paul Volckmann;1669;1721;http://viaf.org/viaf/3339513;http://viaf.org/viaf/;3339513;OM 27.10.1710 ;;;
Winslow,  Jacob Benignus;Winslow; Jacob Benignus; Jacob Benignus Winslow;1669;1760;http://viaf.org/viaf/56963322;http://viaf.org/viaf/;56963322;AM 09.02.1723 ;;;
Marcello,  Alessandro;Marcello; Alessandro; Alessandro Marcello;1669;1747;http://viaf.org/viaf/35255894;http://viaf.org/viaf/;35255894;AM 01.19.1729 ;;;
Semler,  Christoph;Semler; Christoph; Christoph Semler;1669;1740;http://viaf.org/viaf/141491361;http://viaf.org/viaf/;141491361;AM 13.06.1731 ;;;
Bodt,  Jean de;Bodt; Jean de; Jean de Bodt;1670;1745;http://viaf.org/viaf/69741604;http://viaf.org/viaf/;69741604;OM 11.03.1701 ;;;
Lange,  Charles Nicholas;Lange; Charles Nicholas; Charles Nicholas Lange;1670;1741;http://viaf.org/viaf/8327101;http://viaf.org/viaf/;8327101;AM 05.24.1709 ;;;
Sanden,  John Frederick de;Sanden; John Frederick de; John Frederick de Sanden;1670;1725;http://viaf.org/viaf/27895447;http://viaf.org/viaf/;27895447;AM 02.01.1713 ;;;
Bonnet de Saint-Germain,  Ludwig Friedrich;Bonnet de Saint-Germain; Ludwig Friedrich; Ludwig Friedrich Bonnet de Saint-Germain;1670;1761;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;AM 15.11.1713 ;;;
Junius,  Ulrich;Junius; Ulrich; Ulrich Junius;1670;1726;http://viaf.org/viaf/202162593;http://viaf.org/viaf/;202162593;AM 09.22.1723 ;;;
Hermann, Leonhard David;Hermann;Leonhard David;Leonhard David Hermann;1670;1736;http://viaf.org/viaf/72456728;http://viaf.org/viaf/;72456728;AM 06.20.1725 ;;;
Lange,  Johann Joachim;Lange; Johann Joachim; Johann Joachim Lange;1670;1744;http://viaf.org/viaf/2485690;http://viaf.org/viaf/;2485690;AM 03.05.1732 ;;;
Rink,  Eucharius Gottlieb;Rink; Eucharius Gottlieb; Eucharius Gottlieb Rink;1670;1745;http://viaf.org/viaf/20434732;http://viaf.org/viaf/;20434732;AM 15.07.1739 ;;;
Verbrugge,  Otto;Verbrugge; Otto; Otto Verbrugge;1670;1745;http://viaf.org/viaf/216444260;http://viaf.org/viaf/;216444260;AM 08.02.1741 ;;;
Terrasson,  Jean;Terrasson; Jean; Jean Terrasson;1670;1750;http://viaf.org/viaf/12315598;http://viaf.org/viaf/;12315598;AM 23.10.1749 ;;;
Müller,  Johann Heinrich;Müller; Johann Heinrich; Johann Heinrich Müller;1671;1731;http://viaf.org/viaf/38736264;http://viaf.org/viaf/;38736264;AM 05.05.1728 ;;;
Groddeck,  Gabriel;Groddeck; Gabriel; Gabriel Groddeck;1672;1709;http://viaf.org/viaf/3404786;http://viaf.org/viaf/;3404786;AM 11.07.1701 ;;;
Scheuchzer,  Johann Jakob;Scheuchzer; Johann Jakob; Johann Jakob Scheuchzer;1672;1733;http://viaf.org/viaf/49308476;http://viaf.org/viaf/;49308476;AM 12.06.1706 ;;;
Schott,  Johann Karl;Schott; Johann Karl; Johann Karl Schott;1672;1717;http://viaf.org/viaf/749370;http://viaf.org/viaf/;749370;OM 06.12.1706 ;;;
Turretin,  Jean Alphonse;Turretin; Jean Alphonse; Jean Alphonse Turretin;1672;1737;http://viaf.org/viaf/122244892;http://viaf.org/viaf/;122244892;AM 06.12.1708 ;;;
Sanden,  Heinrich von;Sanden; Heinrich von; Heinrich von Sanden;1672;1728;http://viaf.org/viaf/260970716;http://viaf.org/viaf/;260970716;AM 02.01.1713 ;;;
Abicht,  Johann Georg;Abicht; Johann Georg; Johann Georg Abicht;1672;1740;http://viaf.org/viaf/17968751;http://viaf.org/viaf/;17968751;AM 01.02.1715 ;;;
Cramer,  Melchior Konrad;Cramer; Melchior Konrad; Melchior Konrad Cramer;1672;1760;http://viaf.org/viaf/67325454;http://viaf.org/viaf/;67325454;AM 06.15.1729 ;;;
Zeltner,  Gustav Georg;Zeltner; Gustav Georg; Gustav Georg Zeltner;1672;1738;http://viaf.org/viaf/15500230;http://viaf.org/viaf/;15500230;AM 19.07.1730 ;;;
Cyprian,  Ernst Solomon;Cyprian; Ernst Solomon; Ernst Solomon Cyprian;1673;1745;http://viaf.org/viaf/76353951;http://viaf.org/viaf/;76353951;AM 04.02.1703 ;;;
Hendrich,  Peter Ludwig;Hendrich; Peter Ludwig; Peter Ludwig Hendrich;1673;1725;http://viaf.org/viaf/70120069;http://viaf.org/viaf/;70120069;AM 06.04.1711 ;;;
Rau,  Johann;Rau; Johann; Johann Rau;1673;1733;http://viaf.org/viaf/54579552;http://viaf.org/viaf/;54579552;OM 10.09.1711 ;;;
Cantemir,  Dimitrie;Cantemir; Dimitrie; Dimitrie Cantemir;1673;1723;http://viaf.org/viaf/61561051;http://viaf.org/viaf/;61561051;AM 11.07.1714 ;;;
Henrici,  Heinrich;Henrici; Heinrich; Heinrich Henrici;1673;1728;http://viaf.org/viaf/no ID found;http://viaf.org/viaf/;no ID found;OM 21.11.1714 ;;;
Michelotti,  Pietro Antonio;Michelotti; Pietro Antonio; Pietro Antonio Michelotti;1673;1740;http://viaf.org/viaf/27459106;http://viaf.org/viaf/;27459106;AM 10.03.1715 ;;;
Gundling,  Jacob Paul von;Gundling; Jacob Paul von; Jacob Paul von Gundling;1673;1731;http://viaf.org/viaf/27369656;http://viaf.org/viaf/;27369656;OM 05.03.1718 ;;;
Wachter,  Johann Georg;Wachter; Johann Georg; Johann Georg Wachter;1673;1757;http://viaf.org/viaf/9996163;http://viaf.org/viaf/;9996163;OM 24.01.1720 ;;;
Heineccius,  Johann Michael;Heineccius; Johann Michael; Johann Michael Heineccius;1674;1722;http://viaf.org/viaf/54905987;http://viaf.org/viaf/;54905987;AM 09.05.1707 ;;;
